Name,Start Month,Start Day,End Month,End Day,Type,Min Weeks,Max Weeks,Genus,Species,Variety,Cultivar,Season
Artichoke,8,1,12,31,"seed,transplant",6,7,Cynara,cardunculus,scolymus,,
Asparagus,1,1,3,31,seed,,,Asparagus,officinalis,,,
"Beans, lima",5,1,6,30,seed,,,Phaseolus,lunatus,,,
"Beans, snap",7,1,7,31,seed,,,Phaseolus,vulgaris,,,
"Beans, snap2",5,1,6,30,seed,,,Phaseolus,vulgaris,,,
Beets,2,1,8,31,seed,,,Beta,vulgaris,,,
Broccoli,2,1,4,30,"seed,transplant",5,7,Brassica,oleracea,italica,,
Broccoli2,8,1,9,30,"seed,transplant",5,7,Brassica,oleracea,italica,,
Brussells Sprout,2,1,5,31,seed,,,Brassica,oleracea,gemmifera,,
Cabbage,1,1,4,30,"seed,transplant",5,7,Brassica,oleracea,,,
Cabbage2,7,1,9,30,seed,,,Brassica,oleracea,,,
"Cabbage, Chinese",7,1,9,30,seed,,,Brassica,rapa,,,
Cantaloupes,5,1,5,31,"seed,transplant",3,4,Cucumis,melo,,,
Carrots,1,1,5,31,seed,,,Daucus,carota,sativus,,
Carrots2,7,1,8,31,seed,,,Daucus,carota,sativus,,
Cauliflower,6,1,7,31,"seed,transplant",5,7,Brassica,oleracea,botrytis,,
Celeriac,3,1,6,30,seed,,,Apium,graveolens,rapaceum,,
Celery,3,1,6,30,"seed,transplant",10,12,Apium,graveolens,dulce,,
Chard,2,1,5,31,seed,,,Beta,vulgaris,vulgaris,,
Chard2,8,1,8,31,seed,,,Beta,vulgaris,vulgaris,,
"Corn, sweet",5,1,7,31,seed,,,Zea,mays,rugosa,,
Cucumbers,4,1,6,30,"seed,transplant",3,4,Cucumis,sativus,,,
Eggplant,5,1,5,31,"seed,transplant",6,8,Solanum,melongena,,,
Endive,3,1,7,31,seed,,,Cichorium,endivia,,,
Florence fennel,3,1,7,31,seed,,,Foeniculum,vulgare,,,
Garlic,10,1,12,31,seed,,,Allium,sativum,,,
Kale,2,1,4,30,seed,,,Brassica,oleracea,sabellica,,
Kohlrabi,7,1,8,31,seed,,,Brassica,oleracea,gongylodes,,
Leeks,2,1,4,30,seed,,,Allium,ampeloprasum,,,
Lettuce,2,1,8,31,"seed,transplant",5,7,Lactuca,sativa,,,
Mustard,4,1,4,30,seed,,,Brassica,juncea,,,
Mustard2,7,1,8,31,seed,,,Brassica,juncea,,,
Okra,5,1,5,31,seed,,,Abelmoschus,esculentus,,,
"Onions, bulb",1,1,3,31,"seed,transplant,set",10,12,Allium,cepa,,,
"Onions, green",4,1,7,31,"seed,transplant,set",10,12,Allium,fistulosum,,,
Parsley,12,1,5,31,seed,,,Petroselinum,crispum,,,
Parsnips,5,1,6,30,seed,,,Pastinaca,sativa,,,
Peas,1,1,4,30,seed,,,Vigna,unguiculata,,,
Peas2,9,1,10,31,seed,,,Vigna,unguiculata,,,
Habanero Peppers,5,1,5,31,"seed,transplant",6,8,Capsicum,chinense,,,
Peppers,5,1,5,31,"seed,transplant",6,8,Capsicum,annuum,,,
"Potatoes, sweet",5,1,5,31,"seed,slip",,,Ipomoea,batatas,,,
"Potatoes, white early",2,1,2,28,"seed,seed_potato",,,Solanum,tuberosum,,,early
"Potatoes, white late",4,1,5,31,"seed,seed_potato",,,Solanum,tuberosum,,,late
Pumpkins,5,1,5,31,seed,,,Cucurbita,pepo,pumpkin,,
Radish,1,1,12,31,seed,,,Raphanus,sativus,,,
Rhubarb,12,1,3,31,seed,,,Rheum,rhabarbarum,,,
Rutabaga,7,1,7,31,seed,,,Brassica,napus,rutabaga,,
Rutabaga2,3,1,4,30,seed,,,Brassica,napus,rutabaga,,
Spinach,8,1,2,28,seed,,,Spinacia,oleracea,,,
"Squash, summer",5,1,7,31,seed,3,4,Cucurbita,pepo,squash,,
"Squash, winter",5,1,5,31,seed,,,Cucurbita,maxima,,,
Tomatoes,5,1,5,31,seed,5,7,Solanum,lycopersicum,,,
Turnips,1,1,1,31,seed,,,Brassica,rapa,rapa,,
Turnips2,8,1,8,31,seed,,,Brassica,rapa,rapa,,
Watermelons,5,1,6,30,seed,3,4,Citrullus,lanatus,,,
Any Season,1,1,12,31,"seed,transplant,slip,set,seed_potato",,,Any,Season,,,